        c12         c13         c14 
  4.1739998   5.9469986   6.9959984 
  4.6110001   6.3359985   7.3750000 
  4.8430004   6.7159996   7.7800007 
  4.0820007   5.6630001   6.7130013 
  5.7230015   7.7890015   8.9730015 
  5.1060009   6.4890003   7.5890007 
  4.4960003   6.2509995   7.2899990 
  4.7189999   6.4930000   7.5629997 
  4.9309998   6.9870014   8.0470009 
  4.9819984   6.9279995   8.0099983 
  4.2090015   6.0890007   7.1289997 
  4.5130005   6.2419987   7.3169994 
  4.6730003   6.4850006   7.5629997 
  4.0809994   4.5259991   5.4459991 
  5.1379986   7.1929989   8.2969990 
  4.0139999   6.2650013   7.3380013 
  4.3769989   5.9719982   6.9349995 
  4.5509987   6.2719994   7.2999992 
  4.4389992   6.0580006   7.0599995 
  4.1999989   5.6630001   6.6819992 
  4.2439995   5.8950005   6.9379997 
  4.5570011   6.3829994   7.4519997 
  4.4120007   5.9780006   6.9390011 
  4.5060005   6.4759998   7.5520000 
  4.4860001   6.1380005   7.1560001 
  4.6189995   6.1949997   7.2639999 
  4.0000000   5.4389992   6.4489994 
  4.2849998   6.1730003   7.2299995 
  4.1809998   5.8659992   6.8349991 
  4.1539993   5.5939999   6.6320000 
  5.1550007   6.9699993   8.0539989 
  4.4079990   6.1619987   7.2259998 
  3.7940006   5.1919994   6.1709995 
  4.9400005   6.7059994   7.7469997 
  3.4349995   4.5579987   5.5579987 
  3.2930012   4.2180004   5.0830002 
  4.4209995   6.0260010   7.0520000 
  4.6930008   6.4139996   7.4740009 
  4.4769993   6.1840000   7.1999989 
  4.9899998   6.9039993   7.9879990 
  5.7989998   8.0430012   9.1270008 
  3.8640003   5.2200012   6.3010006 
  4.6809998   6.5750008   7.6919994 
  2.5450001   3.3280010   4.1980000 
  3.7480011   5.3450012   6.4139996 
  5.3460007   7.5290012   8.6350002 
  4.3780003   5.9319992   6.9750004 
  5.1180000   7.2589989   8.3190002 
  4.6989994   6.5979996   7.6499996 
  3.9759998   5.3369999   6.3509998 
  4.2630005   5.9009991   6.9239998 
  3.8179989   5.6199989   6.6709995 
  4.7419987   6.4599991   7.5079994 
  4.6490002   6.4369984   7.4939995 
  5.1669998   7.2699986   8.1529999 
  3.4750004   5.3730011   6.4340000 
  4.8880005   6.7059994   7.7849998 
  4.9249992   6.7479992   7.7810001 
  4.2089996   5.5660000   6.5939999 
  4.2029991   5.7800007   6.8180008 
  4.3129997   5.9389992   6.9720001 
  4.5080013   6.0390015   7.0660000 
  3.8290005   5.1669998   6.1840000 
  4.2530003   5.8899994   6.9039993 
  3.8640003   5.1779995   6.2040005 
  3.1689987   4.1819992   5.0719986 
  4.2639999   5.8319988   6.8850002 
  5.2060013   7.2810001   8.3540001 
  5.0879993   7.1219997   8.1529999 
  4.3419991   5.8959999   6.9200001 
  4.2749996   5.8350010   6.8369999 
  3.9619999   5.4470005   6.4979992 
  4.3400002   5.7220001   6.7320004 
  3.7489986   5.1949997   6.1669998 
  4.5180016   6.6290016   7.7490005 
  4.0409985   5.5999985   6.6129990 
  4.7490005   6.4070015   7.4820004 
  4.7590008   6.5530014   7.6330013 
  5.1739998   7.1829987   8.2910004 
  3.4759998   4.7360001   5.7110004 
  3.1520004   4.2380009   5.1840000 
  3.6110001   4.8570004   5.8750000 
  4.3769989   5.9729996   6.9370003 
  4.8619995   6.6340008   7.7049999 
  4.7609997   6.6089993   7.5969982 
  3.0830002   4.1949997   5.1620007 
  4.7519989   6.5130005   7.5489998 
  3.5819988   4.8409996   5.8139992 
  4.5190010   6.4069996   7.4210014 
  4.0429993   5.5559998   6.5709991 
  3.0780010   4.0820007   4.9960003 
  4.0820007   5.6760006   6.6259995 
  3.8939991   5.2649994   6.2919998 
  4.4699993   6.1189995   7.0959988 
  3.8549995   5.1309986   6.1560001 
  3.6569996   4.9850006   5.9860001 
  3.7779999   5.0559998   6.0299988 
  4.8350010   6.5550003   7.6470013 
  4.4750004   6.0699997   7.1000004 
  4.0610008   5.5830002   6.6219997 
  3.8800011   5.1940002   6.2620010 
  3.8160000   5.3070011   6.3210011 
  4.3509998   5.9740009   7.0260010 
  4.6350002   6.2480011   7.2900009 
  4.2399998   6.5790005   7.6779995 
  4.0220013   5.4810009   6.4969997 
  4.3220005   5.8770008   6.9510002 
  3.6900005   4.9239998   5.8910007 
  4.7520008   6.6599998   7.6850014 
  3.9750004   5.4489994   6.4899998 
  3.5109997   4.7259998   5.7129993 
  3.8839989   5.7969990   6.8759995 
  4.6239986   6.6009998   7.6320000 
  0.3299999   0.4139996   0.4629993 
  3.5839996   4.7749996   5.7699986 
  4.6519985   6.3779984   7.5149994 
  4.3209991   5.7749996   6.8360004 
  4.2220001   5.7690010   6.7800007 
  4.5149994   6.2309990   7.2519989 
  5.5869999   7.7709999   8.8670006 
  4.2620010   5.8290005   6.8490009 
  3.4990005   4.9239998   5.9309998 
  3.7549992   5.2450008   6.2399998 
  3.7579994   4.9720001   6.0030003 
  5.3269997   6.9510002   8.0590000 
  4.1229992   5.8999996   6.9340000 
  3.9769993   5.3199997   6.3570004 
  3.7519989   5.2729988   6.3079987 
  4.3169994   5.9739990   6.9949989 
  3.9759998   5.4249992   6.4429989 
  4.3879986   5.9609985   6.9930000 
  4.0049992   5.4759998   6.5119991 
  4.3909988   6.1529999   7.1980000 
  3.4820004   4.6350002   5.6329994 
  4.2730007   5.7570000   6.7890015 
  4.4169998   5.9650002   7.0030003 
  5.0260010   6.7940006   7.8480015 
  4.3459988   5.8499985   6.8419991 
  4.0150013   5.5390015   6.5430012 
  3.8280010   5.2020016   6.2060013 
  4.9919987   7.0929985   8.1879997 
  4.2329998   5.7409992   6.7609997 
  3.9130001   5.2810001   6.2639999 
  5.3490009   7.5699997   8.6930008 
  3.3120003   4.6289997   5.6280003 
  4.5530014   6.2020016   7.2420006 
  4.4300003   6.1950016   7.2100010 
  4.7600002   6.3839989   7.4890003 
  3.6630001   4.9270000   5.9429989 
  4.4639988   6.1380005   7.1599998 
  3.8530006   5.2880001   6.2630005 
  4.4010010   5.9979992   7.0230007 
  3.5610008   4.7919998   5.7630005 
  4.2709999   5.8269997   6.8830013 
  4.7670002   6.6229992   7.6299992 
  4.1900005   5.7409992   6.7950001 
  4.7509995   6.6200008   7.6809998 
  4.4270000   6.6289997   7.7349987 
  3.8470001   5.1560001   6.2110004 
  4.6989994   6.4909992   7.5299988 
  3.9500008   5.3150005   6.3170013 
  3.6170006   4.8700008   5.8470001 
  4.7590008   6.7889996   7.8780003 
  3.9419994   5.1749992   6.1989994 
  4.7540016   6.8100014   7.9230003 
  3.5520000   4.8110008   5.8129997 
  2.9790001   3.9680004   4.9169998 
  4.4090004   6.2989998   7.4379997 
  4.1120014   5.5559998   6.5880013 
  4.2170010   5.8450012   6.8810005 
  5.0139999   6.9960003   8.0549984 
  4.3619995   6.0059986   7.0569992 
  4.7590008   6.6240005   7.6820011 
  3.0799999   4.0690002   5.0359993 
  3.6779995   5.1700001   6.1509991 
